Frame,ObjectID,X,Y,W,H
0,0,766,320,22,20
1,0,772,321,22,20
2,0,778,321,22,20
3,0,784,322,22,20
4,0,790,322,22,20
5,0,796,322,22,20
6,0,802,322,22,20
7,0,808,323,22,20
8,0,814,323,22,20
9,0,818,323,22,20
10,0,824,323,22,20
11,0,829,324,22,20
12,0,835,324,22,20
13,0,838,324,22,20
14,0,841,325,22,20
15,0,844,325,22,20
16,0,848,326,22,20
17,0,853,327,22,20
18,0,856,327,22,20
19,0,858,328,22,20
20,0,862,328,22,20
21,0,864,331,22,20
22,0,867,331,22,20
23,0,867,333,22,20
24,0,865,337,22,20
25,0,864,339,22,20
26,0,862,343,22,20
27,0,862,347,22,20
28,0,860,352,22,20
29,0,858,357,22,20
30,0,856,363,22,20
31,0,856,370,22,20
32,0,854,377,22,20
33,0,856,385,22,20
34,0,857,393,22,20
35,0,859,394,22,20
36,0,861,394,22,20
37,0,864,395,22,20
38,0,868,397,22,20
39,0,875,400,22,20
40,0,881,404,22,20
41,0,888,408,22,20
42,0,894,415,22,20
43,0,900,421,22,20
44,0,907,428,22,20
45,0,913,437,22,20
46,0,920,447,22,20
47,0,927,457,22,20
48,0,933,457,22,20
49,0,940,457,22,20
50,0,947,457,22,20
51,0,953,458,22,20
52,0,958,458,22,20
53,0,963,458,22,20
54,0,967,460,22,20
55,0,973,463,22,20
56,0,978,467,22,20
57,0,985,470,22,20
58,0,993,476,22,20
59,0,1001,483,22,20
60,0,1010,491,22,20
61,0,1015,499,22,20
62,0,1017,507,22,20
63,0,1017,516,22,20
64,0,1016,526,22,20
65,0,1011,536,22,20
66,0,1004,541,22,20
67,0,999,537,22,20
68,0,994,534,22,20
69,0,988,532,22,20
70,0,983,531,22,20
71,0,978,531,22,20
72,0,973,531,22,20
73,0,968,532,22,20
74,0,963,535,22,20
75,0,959,538,22,20
76,0,955,541,22,20
77,0,953,547,22,20
78,0,949,554,22,20
79,0,946,560,22,20
80,0,944,569,22,20
81,0,942,578,22,20
82,0,938,577,22,20
83,0,937,569,22,20
84,0,954,567,22,20
85,0,961,562,22,20
86,0,964,561,22,20
87,0,960,560,22,20
88,0,954,545,22,20
89,0,959,555,22,20
90,0,967,563,22,20
91,0,979,571,22,20
92,0,996,577,22,20
93,0,1017,580,22,20
94,0,1037,582,22,20
95,0,1057,584,22,20
96,0,1075,586,22,20
97,0,1071,579,22,20
98,0,1071,586,22,20
99,0,1072,587,22,20
100,0,1087,592,22,20
101,0,1107,595,22,20
102,0,1119,598,22,20
103,0,1131,581,22,20
104,0,1131,578,22,20
105,0,1134,576,22,20
106,0,1140,572,22,20
107,0,1147,572,22,20
108,0,1153,575,22,20
109,0,1158,578,22,20
110,0,1162,582,22,20
111,0,1165,586,22,20
112,0,1167,592,22,20
113,0,1164,590,22,20
114,0,1160,589,22,20
115,0,1154,588,22,20
116,0,1147,586,22,20
117,0,1139,584,22,20
118,0,1132,583,22,20
119,0,1126,586,22,20
120,0,1118,590,22,20
121,0,1108,592,22,20
122,0,1099,594,22,20
123,0,1090,598,22,20
124,0,1096,600,22,20
125,0,1085,596,22,20
126,0,1074,592,22,20
127,0,1065,588,22,20
128,0,1057,587,22,20
129,0,1048,587,22,20
130,0,1039,589,22,20
131,0,1032,593,22,20
132,0,1025,597,22,20
133,0,1016,598,22,20
134,0,1007,601,22,20
135,0,1000,603,22,20
136,0,995,606,22,20
137,0,990,606,22,20
138,0,984,615,22,20
139,0,982,611,22,20
140,0,975,609,22,20
141,0,966,609,22,20
142,0,958,611,22,20
143,0,948,616,22,20
144,0,940,618,22,20
145,0,951,614,22,20
146,0,939,619,22,20
147,0,927,627,22,20
148,0,913,638,22,20
149,0,898,646,22,20
150,0,903,648,22,20
151,0,898,642,22,20
152,0,892,635,22,20
153,0,882,626,22,20
154,0,872,623,22,20
155,0,861,622,22,20
156,0,848,624,22,20
157,0,833,627,22,20
158,0,817,630,22,20
159,0,811,631,22,20
160,0,803,627,22,20
161,0,801,635,22,20
162,0,794,634,22,20
163,0,785,634,22,20
164,0,776,637,22,20
165,0,767,640,22,20
166,0,759,643,22,20
167,0,771,643,22,20
168,0,758,647,22,20
169,0,745,656,22,20
170,0,731,665,22,20
171,0,721,682,22,20
172,0,718,676,22,20
173,0,712,669,22,20
174,0,706,661,22,20
175,0,699,656,22,20
176,0,689,651,22,20
177,0,689,651,22,20
178,0,678,650,22,20
179,0,666,650,22,20
180,0,653,656,22,20
181,0,641,663,22,20
182,0,627,658,22,20
183,0,622,656,22,20
184,0,616,655,22,20
185,0,612,663,22,20
186,0,604,664,22,20
187,0,596,666,22,20
188,0,588,671,22,20
189,0,580,676,22,20
190,0,595,676,22,20
